hi,en
"salman आप तो हमारे जैसे हो एक बार कुछ बोलो
","salmaan you are like us please say something once
"
"जीर्ण शामल नहीं लगी
","fall carefully
"
"ये वाली fun dialogues हमेशा याद रहेंगे
","These funnels will always be remembered
"
"क्या बात है ... भाई
","what is the matter brother
"
"Assalamu Alaikum Salman KhanHum आपके fans चाहते हैं कि आप एक बार हज या उम्र करके आयें . इंशा अल्लाह आपके life की मुश्किलें आसान होजाए . Aameen .
","greetings salman khan we your fans want that you do haj or umra once . Inshaa Allah your life's problems will become easy . Aameen .
"
"Around 45000 का .
","Around 45000
"
"सन्न , just check with me before you go to meet दीदी .
","Listen , just check with me before you go to meet sister .
"
"दिल कहता है
","my heart says
"
"I love Salman khan i love india
","I love you , Salman Khan . I love India .
"
"यह bomb मेरे bombs के आगे कुछ नहीं हैं
","Your bombs are nothing compared my bombs
"
"हम इंतजार करेंगे
","we will wait .
"
"md.intjar.malik . bajrangi.bhijane . . i love.you . ( 786 ) . bhijane.apki.film . no : 1 hogi . bhijane.mujko कॉल.करो . 8868026194 .
","md.intjar.malik . bajrangi.bhijane . . i love.you . ( 786 ) . bhijane.apki.film . no : 1 hogi . bhijane.mujko call.karo . 8868026194 .
"
"मुझे अबी 15 मैं पहले इतनी ख़ुशी हो रही थी
","I was feeling so happy 15 minutes ago
"
"भाई आप सपना क्यों देखते हो भाई बस आपके fan हैं हम
","brother why do you show us a dream brother we are just your fans
"
"समझा
","Understood
"
"गधों की तरह काम करवाएंगे summer में . _ .
","they will make us Work like asses in summer .
"
"मजे करना relax करना finish all your work का back लॉग ... !
","have fun relax finish all the backlog of your work
"
"bye sleeping बोल दे तेरे तक रहे मुझ तो बकवास लगता है नाम तो सुनना है भूत भर
","bye sleeping tell him that he stays till you i find him useless i have heard the name many times
"
"भाईजान मेरे Questions ... आप सबसे ज्यादा किसे चाहते हो ? ? ?
","brother my questions . who do you like the most ?
"
"Sir आपसे मिलना ही है मुझे कैसे भी करके मुझे बहुत तकलीफ होती है सिर सचमें अब और नहीं सहा जाता अगर आप समझ सकते हो तो please मुझे जरूर मिलना है ... आपकी fan गीता Rawat ...
","I really want to meet you , brother , anyhow . It really bothers me now and I can't take it no more . If you can understand , then please meet me . Your fan geeta rawat .
"
"चोर साले मरजा तो कुत्ते हरामके सुवर .
","thief idiot go and die dog horrible pig
"
"Sallu भाई सो . गए क्या
","Sallu bhai where did you go ?
"
"भूत late हैं सब चीज़ें
","evertyhing is very late
"
"Unstoppable modi sir
","Unstoppable modi sir
"
"वह बड़ी beads भी बहुत काम आयेंगे
","That big beads will also be a very helpful .
"
"ही my cute बंदर का हो क्या हो रहा है ठीक हो miss you सोना miss you so much
","hi my cute monkey . where are you what is happening are you okay miss you sona miss u so much
"
"4 बज गए पर बात अभी बाकी है
","it is past 4 but still have to talk
"
"मेरी जहाँ जो भी काम करती है वह nice ही होता है
","my life whatever you do it is nice only
"
"तो tension ना ले end में train में आ जाऊंगा
","Do not take tension , in the end I'll come in the train
"
"4 बज चुके हैं salman
","its 4 oclock salman
"
"रात तक mail कर दूंगी जो बनाया है अभी तक .
","I'll email by naight whatever i have done till now .
"
"भाईजान love you भाई .. 28th july को मेरे बड़े हैं .. एक wish कार्डों भाई .. plus भाईजान ..
","Bro , love you bro . My birthday is on 28th July . Give me one wish . Please brother .
"
"आज के mahatma gandhi P.M.Modi जी modi जी में swami vivekanand की छवि भी दिखती है
","today's mahatma gandhi P.M.Modi ji modi jee has the traits of swami vivekanand
"
"4pm Salman का हो
","4pm Salman where are you ?
"
"जैसे तुम अपने वादे के पक्के हो वैसे मैं भी अपने वादे की पक्की हूँ
","the way you are ripe about your promises , even i am ripe about my promise
"
"Tum.sala.hindu .
","you sala hindu
"
"हाँ I'll make sure में ज्यादा न थकू
","Yes i will make sure thaty i dont get too tired
"
"बोल दे कि तेरी तबियत इस खराब
","Tell them that you are sick .
"
"किसी के पास कोई notes है क्या ?
","Does anyone have any notes ?
"
"ये क्या करेंगे ?
","What will they do ?
"
"ओये तू क्यों बड़ी बड़ी बातें करा है ... पागल हो क्या ...
","oye why do you say big big things .. are you mad
"
"4 बज गए पर party अभी बाकी है .. बात तो दूर किसी को replay भी नही किया Salman Khan
","It's 4 but the party is still on . Salman khan didn't even reply to anyone let alone chat .
"
"i went to a localite's घर yesterday !
","i went to a localite's house yesterday !
"
"शानदार song है !
","it is an amazing song !
"
"अरे बोहोत बोला मैने दी उसको की चाल . एक ही ticket में हो जाएगा काम भी .. बोलते की project करेगा ..
","I tried convincing him a lot , even told him that we will manage in a sungle ticket , but he said he wanted to work on his project .
"
"dates तो मिल ही जायेंगी न immediately ?
","we will get dates immediately right ?
"
"Welcome modi जी
","Welcome modi jee
"
"being human का असली avtaar . salman भाई आप और आप के डैड लाखों करोड़ों लोगों की दुआ लेते हो . माशाल्लाह ... subhanAllah . stay blessed always admin aamir ahmed
","being human's real face . Salman brother , you and your father take blessings from millions of fans . Awesome ... awesome . Stay blessed , always . admin aamir ahmed .
"
"भाई आप दिलदार हो मैं जनता आपसे बड़ा कोई नई है दिल का raja
","brother you are generous i know that there is no one bigger than you king of hears
"
"जल्दी आ कर व्यापमं पर कुछ कीजिये नहीं 45 के पार हत्त्याएं पहुंचने वाली है
","come fast and do something about vyapam because more than 45 murders are about to reach
"
"हैलो किया आप happy हो
","hello are you happy
"
"ओक
","okk
"
"awesome trailer <3
","Awesome trailer <3
"
"अभी ले लूँ room से ?
","Can I borrow it from your room now ?
"
"हे bajrangbali बस आज एक reply मिल जाये ..
","hey bajrangbali may I get just one reply today
"
"हम थक गये भाई आपका इंतजार कर के कर के हमारी उंगलियां भी दुख रही है typing करके
","We have gotten tired waiting for you our fingers are also hurting after typing
"
"हम्बे और किया तब कहूंगा ढेर सारी
","we too and what will you eat after that a lott
"
"जो गंदा लोग हैं वो गन्दा ही रहेगा according to psychology you cant change anyones behavior वह act करेंगे पर change नहीं होते !
","people who are dirty will remain dirty according to psychology you cannot change anyones behaviour , they will act but they won't change
"
"Sir 4 बज गए
","Sir it is 4 already
"
"कैसे हो आप डी
","How are you sister
"
"Salman sir और पता चला है कि आप आजकल जादा gym में time बिताते हैं .. ? इस बात में कितनी सच्ची है ? और अगर सच है तो क्या आप किस new movie के लिए body बना रहे हैं
","Salman sir came to know you spend a lot of time in the gym these days .. ? how much truth is in the statement ? if it is true then then for which new movie are you making a body
"
"बा Guruji क्या style है आपका दुनियाको हिल के छोड़े हैं .
","Wow guruji what style do you have you have moved the world
"
"hm
","Hmmm
"
"क्यों पड़े हो चक्र में कोई नहीं है टकर मी . Modi is best pm .
","why are you in circle , no one can compete with him . modi is best pm
"
"भाईजान किधर हो
","brother where are you
"
"Reply please भाई
","salman brother please give us also a chance to talk thanks .
"
"veer जी आ गई मैं करूँ start यो यो यो जय salman :)
","veer ji i have come please start yo yo yo jai salman
"
"Swagatam माँ भारती अपने पास बुला रही है
","welcome mother bharti is calling you
"
"And जाना है तो चले जाओ , but ticket जरूर खरीद लेना .
","Go if you want , but buy the tickets for sure .
"
"दुनिया में सबसे अच्छा कौन है तू ओ सिर्फ हमारे वीर क्यों कि ओ सिर्फ दिल की सुनता है
","who is the best in the world it is you because you just listen to your heart
"
"Hur salman khan तेरी ऐसी की टीसी और तेरी movie की भी
","hur salman khan your here and there and your movie's too
"
"eid मुबारक salman भाई
","happy eid , salman brother .
"
"Salman भाई जय हो . Blessings to bajrangi bhaijann . ...
","Hail Salman Bhai . Blessings to bajrangi Bhaijann .
"
"Gandhi जी और आपने अपनी छवि से न केवल देश में बल्कि पूरे विश्व में bharat का नाम गौरान्वित किया है wish you all the best
","gandhi ji and you have using your own persona changed the way indnans and the world thinks about our country wish you all the best
"
"बस फिर तो i am also going to get one for myself soon .
","Now I am also going to get one for myself soon .
"
"न
","no
"
"मुझे तो पता ही नहीं रहा बात हो भी रही है sorry जा रही हूँ bye
","i didnt even know that whether we are going to talk or not going now bye
"
"Salman जी plus कभी तो reply किया करो तभी पता चल ए गा की आप भी अपने fens से प्यार करती हूँ
","Salman , please reply sometimes , that's how we will know that you love your fans .
"
"हुड़ हुड़ dabangg dabangg dabangg ... Bajrangi भाईजान
","hur hur dabangg dabangg dabangg ... Bajrangi bhaijan
"
"that's why 1 बंदी seat अलग से रखता के elections हुए थे
","That is why 1 tied seat was kept separately while Elections happened
"
"आ तो जाओ ईद वाले दिन ही देख लेंगे कि इस बार भी record टूटना है पहली वाली movies से haha ... Being salman khan ? 1000 crores
","come , we will watch it on id day itself this time also record will be broken from earlier movies . being salman khan ? 1000 crores
"
"यार drama वालों की भी photo लो
","Take pictures of the drama people
"
"बाद में पता चला she's out of campus .
","Later it was revealed that he was out of the premises .
"
"Selfie ले बेटा जब मरजा 0गे जब Qaber में जा0गे तब अल्लाह तुझे देखेगा घटिया h0 तुम really
","take selfie son when you will die and go in coffin then god will see you horrible person really
"
"तुमने भी कभी साथ नहीं दिया तो मैं आखिर गलत हो ही गई cograss
","you also never gave me company so i became wrong , congrats
"
"हाँ आपको इतनी दूर से आगयी न
","Yes , you'll get it from that far ?
"
"thank you एकी
","Thank you akki
"
"So जुगाड़ रही हूँ कुछ referral
","I'm gonna get some referrals
"
"salman khan rock's सास
","salman khan rock's ss
"
"मुझे भी करनी है बात पर कैसे करूँ ? ? ?
","I also want to talk , but how ?
"
"लगता है डर गया #UTurn
","seems like got scared #UTurn
"
"yes भाईजान हम आप के साथ है
","Yes brother , we are with you .
"
"nice tone thiseid eve , , , एडमुबारक
","nice movie , this eid eve . Happy eid .
"
"क्या भाई आपका ये movie bahubali record तोड़ पेय
","will your this movie be able to break the record of bahubali record
"
"Salu जी खूबी हैलो ही तो कर लिया कर
","Salman sir , just say hello atleast once .
"
"Bharatmata lovely son modi jaihoo
","Bharatmata lovely son modi jaihoo
"
"Lol
","Lol
"
"में budget से इसके लिए निकलवाता हूँ पैसे !
","I'll take money out of the main budget for this .
"
"इस बार BJP का कुत्ता Muslim पे डब्बा अन्नी वाला है eid के दिन जहां भी ये कुत्ता आएगा जूते मार के भगाओ साले के घर में घुसू
","this time BJP's dog , stain on muslims will come , on the day of eid wherever this dog comes , hit him with shoes and make him run , enter his house
"
"Surprise Event में फिरसे problem set डालडॉगी ?
","Will you put a problem set again in the surprise event ?
"
"Modi साहब जी , , गला दे कराह बनाई जाओगे , कि कुझ क्रोज व ..
","modi saab g , , will you keep making galla da krah or will you do something too
"
"सुना बस भाई घर पे मामी की help
","tell that's all brother helping mummy at home
"
"तेरी माँ का
","your mother's
"
"Seminar के लिए register किया ?
","Did you register for the seminar ?
"
"पता नी कभी मेरी भी किस्मत मेहरबान होगी और मैं भी भाई जान से मिल पाऊंगा .. ए खुदा . रहम .. :-) <3
","don't know when I will also have good luck and I will also meet brother .. O God . Mercy .. :-) <3
"
"Home guard लोगों की भलाई करो पेचीले बाद में बड़े बड़े काम केरना.चोटा सा काम करदो पेचीले
","please help us guard people first , then do big big tasks
"
"पार्टी तो आप के साथ करनी थी boss
","i wanted to party with you boss
"
"अरे actually उसने shortlist कर रखे थे ppr
","Oh actually he had kept the papers shortlisted
"
"Like even though they're going good , उनको call नहीं आ रहा ?
","Like even though they're going good , They are not getting calls ?
"
"मेरेको भी attend करनी है
","I also want to attend .
"
"असलमों alaikum भाई
","greetings bhai
"
"I'll tell you पक्के स in a couple of days .
","I'll tell you for sure in a couple of days
"
"जगह के options करते हैं , but पहले date decide करते हैं न .
","Make choices of the place , we do not have Debt Deed before .
"
"किस खुशी में तैयार होज़े भाई शादी की party ढेरी हो
","for what occassion should we get ready bhai are you giving party for marraige
"
"Election जनतक चुनने के होते हैं यह नेता झूठ बोलते हैं बड़े 2 wade करते हैं , लेकिन वही'इंग्रेज शासन'इसे बदलेगा कौन जिसे हमने चुनना है लेकिन वह बदलेगा तो वह सत्ता सुख , bade 2 घोटाले , जनता का पेशा जनता के लिये क्यों प्रयोज्य नहीं जा रहा ,
","election jantak is like chunne . these politicians lie and make big promises , but that engragi sasan , who will change this
"
"Salman भाई यार आप भूत मस्त हो ... ?
","Salman bro , you are really amazing .
"
"सबका 1 भाईजान
","Everybody's only brother .
"
"जल्दी आओ भाई
","Come quickly bro please .
"
"क्या बात करनी है message कर देना .. #Salmankhan
","Message whatever you want to say .. #Salmankhan
"
"stemmed में दिक्कत आ रही है
","There's a problem is stemmer .
"
"रमजान और eid mubbark हो salman भाई 8863960135 में आप का wait
","greetings for ramzaan and eid salman bhai 8863960135 i will wait for you
"
"बस मस्त .
","okay cool .
"
"plus modi जी आपकी देश बेसियोको समझाया कि बुद्ध का जन्म nepalmain हुआ हैं न कि india में .
","please modi ji make your people understand that buddha was born in nepal and not in india
"
"I live sallu
","I luv sallu
"
"ram ram दी
","Ram Ram di
"
"भाई आपका being ह्यूमन trust कैसा चल रहा है
","Bhai how is your Being Human trust going ?
"
"Pak पोज जिन्दा बाद <3
","pak foje live long <3
"
"Sallu भाई मेरे तरफसे रमजान मुबारक हो
","Sallu Bhai ramzan mubarak from my side
"
"तो सुन
","You tell me
"
"bharat का सन narendar modi लेकिन bihar का क्या होगा modi जी
","india's pride is narendar modi but what will happen to bihar
"
"Delhi में arrival 7 pm वाली करवा लूँ ?
","Should I get the one with 7 pm arrival in Delhi ?
"
"kamal करते हो pandy जी ... कितने wait करवाओगे
","You're insane , Pandey ji ... how much will you make us wait ?
"
"theater में जा के salman का movie कभी नहीं देखूंगा Internet पे 10 दिन के बाद आएगा download कर के देखूंगा ! ! ! free में
","I won't ever go to a theater to watch Salman's movie . I will watch it on the internet when it comes after 10 days for free .
"
"7,600 th like :)
","7,600 th like :)
"
"आ भी जाओ mr.salman का हो
","Please come mr . Salman . Where are you ?
"
"Salman भाई ... की हल चल
","salman brother . how are you
"
"Numbers तो कुत्तों की तरह बढ़ते जा रहे हैं < _ <
","Numbers are rising like dogs .
"
"slman pleases मैं आपसे मिलना चाहती हूँ ... आपको एक बार देखना चाहती हूँ .. मैं आपकी bot बड़ी fan हो दिल से ... really i like you .. i like your nature ..
","Salman sir please I want to meet you ... I want to see you once ... I am a very big fan of yours ... I really like you ... I like your nature
"
"Last year हमने ऐसी सारी queries group पे post कर कर के पूछी थी
","Last year , we posted and asked all queries of this type on the group
"
"हांजी
","yes ji
"
"पर if its possible and any other guest needs a room , मेरा room दे दे किसी को भी
","but if its possible and any other guest needs a room , give my room to anyone
"
"अब्बी मेरा comment like कर , उनकी post नहीं !
","Hey like my comment , not his post !
"
"यहाँ पे हूँ so I'll take you guys out !
","Im here so I'll take you guys out !
"
"मेरी वाली मैं घर पे security की जाती है .
","In mine , the security key goes home .
"
"तेरे layover Dubai में होगा .
","Your layover will be in Dubai .
"
"3:30 पे क्यों नेहु
","why not 3:30
"
"Play के बाद खाकी निकल जाते हैं लोग
","People eat and leave after the playy
"
"Hmm .
","Hmm
"
"हेलो , bajrangi भाईजान
","Hlw , bajrangi brother
"
"ज्यादा storage capacity है तो मुझे दे दे थोड़ी सी
","If there is a lot of storage capacity then give me a little
"
"तुम सब को transcripts मिल गयी क्या ?
","All of you I got transcript miles ?
"
"इसलिए यह salman कुत्ते film कोई मुसलमान मत देखो
","that's why no one watch the film of this salman dog
"
"इंशा अल्लाह blockbuster होगी भाई अबकी बार 300 cross पार बजरंगी भाईजान
","Inha Allah it will be a blockbuster brother this time 300 cross beyond bajrangi bhaijaan
"
"यदि आपसे मिलना है तो क्या करना होगा
","what should i do to meet you
"
"Like all the हिंदी words will be written in devangiri
","Like all the hindi words will be written in devanagari
"
"Campus इतना खाली लगता है bey !
","Campus seems so empty
"
"Abhe 2 mint हाँ यार
","Now , 2 minutes . Yes , man .
"
"salman भाई a ...
","salman bhai greetings
"
"भाई आपको नहीं लगता कि kareena ने भूत ज्यादा make up कर लिया है movie में .. #Salmankhan
","bhai do you not think that kareena has done too much makeup in the movie #salmankhan
"
"gm
","Gm
"
"तो बात क्या कर रही है 4th july को ?
","What are you doing on 4th july ?
"
"एक बंद 5 को lite कर देता है
","A guy makes 5 lite
"
"Asalmwale कौम भाईजान
","Asalmwale coom brother
"
"अब तेरे यहाँ हो जाए तो चुप चाप research कर ले
","Now if you get in here , then quietly do research .
"
"क्यों झूठ बोल रहा भाई
","Why are you lying , bro ?
"
"College आकर बात करती हूँ .
","Come and talk to the college .
"
"Lol हरामजादी अपने तो मुसलमानों को जलील किया अल्लाह आपको हिदायत करे आमीन
","Lol , asshole , you insulted our muslims . God will punish you .
"
"3:30 का time था
","3:30 was the time
"
"hallo भाई जान कैसे हैं मैं आपका बहुत बड़ा fan हो
","hello brother life how are you i am a big fan of yours
"
"भइया you lookin so superb at movie Bajrangi भाईजान , , ऐसे ही हमेशा हम fans को प्यार देती रहे.इतना ही काफ़ी है मेरे liye.Love you भइया
","Bro , you are looking superb in the movie Bajrangi Bhaijaan . Always love us fans like this . That is enough for me . Love you bro .
"
"hell 0 salman khan ... कैसे हैं आप .. ? ?
","hello salman khan ... how are you .. ? ?
"
"मात देखो salman के बजरंगी भाई जान movies 2 ? Salman khan is not a muslim he is a हिन्दू because अल्लाह से साहब से बा गुनाह हैं SHIRK TO Salman kahn shirk कर रहा हैं 3 कुरान का फरमान हैं साहब से बड़ा गुनाह Shirk हैं
","don't watch salman's bajrange bhai jaan movies ? salman khan is not a muslim he is a hindi because Allah sey SAAB SE BAA GUNAA HAIN SHIRK TO Salman kahn shirk kar raha hain 3 KURAN KA farman haain saab se bara gunaa Shirk hain
"
"Salmon भाई मैं आपकी बोहत भारी fan हैं .
","salman bhai i am a very big fan of yours
"
"SALMAN भाई आप टेंशन मत लो आपकी movie supar डुपर hit है कुछ मैं के लाल और कुछ भी के लाल हैं जो अपनी ( ग ) मेरा रहे हैं और जो मेरा रहे हैं वो भी आपकी movie देखी जी मगर आदत है न सुलेमानी कीड़े जो घुसा है ... :)
","Salman brother , don't get tensed . Your movie is going to be a hit . There are some assholes who are trying too hard , and those who are doing this , even they will watch your movie . But , it is their habit , they have a bug in their brain ... :)
"
"plus books के लिए मुझे ऐसा लगता है कि इतनी सारी movie के में 150 rs भर के देख आता हूँ मैं hall में
","plus for books I think that for so much movie i give 150 rs to watch in hall
"
"I think काफी interesting होगा वह .
","I think it will be very interesting
"
"तुम्हारी तो खुद deadline pending पड़ी होगी ? ? ?
","You'll also have a deadline pending ? ? ?
"
"साले salman तो मुसलमान के खिलाफ होकर बोहोत नीचे गिरेगा
","saale salman you are against muslims you will fall
"
"मैं हूँ पानी आप की बहुत जियादा her movie जिस में आप हो खुश अजीव खुशी अपनापन आप से लगता है ब बात गुण ब से दुआ करते हैं मैं request बिहग दो please बात करनी है
","I am a very big fan of yours . On watching every movie of yours , i feel some weird kind of happiness . I pray to god that now that i sent you a request , you will talk to me . Please .
"
"I hope जब मैं पहुंचूं तब तक तो आ जाओ आप लोग !
","I hope when I reach by that time you guys also reach !
"
"भाई मैं आपका भूत बड़ा fan हूँ दिल से बोल रहा हूँ .. बोले तो अपना भाई कौन सल्लू भाई ... jumaa मुबारक wishing you all the best your new movie . ..
","Brother , I am a big fan of yours . I am saying this from my heart … Tell us , who is our brother ? sallu brother … happy jumaa . Wishing you all the best for your new movie ...
"
"arbaaz भी ठीक कहते थे आप less puntual है
","arbaaz also said the right thing you are less puntual
"
"Oh तूने कहा था कि तू आज जाएगा , so I told him की तो निकल गया .
","Oh you said that you would come today , so I told him that you left .
"
"1हर से ज़्यादा होगया भाई कोई खबर नहीं है
","It's been more than 1 hour now . There is no news of bro .
"
"झूठ बोल दिए . इतनी जुटते हो तो तुम्हारी fan तुम पर trust किया करेंगे यार . यह Sonakshi sinha नही है जो such बोलेंगे
","You lied . if you are such a liar how will your fans trust you . He isn't Sonakshi Sinha that he will tell the truth
"
"कु salman का नाम बिना उसे करे कम नहीं होते क्या भाई लोगो
","can you not do your work without taking the name of salman
"
"आज Facebook पे लगता है सबसे ज्यादा comments का work record बन जायेगा
","on facebook today i think we will make a world record of the most comments
"
"अरे यार कोई तो बोलो सब comment कर रे काली किसपे बात करेंगे भी
","Someone tell me where is everyone commenting . Will he talk even ?
"
"भाई जान jindabad
","brother jan live long
"
"पद्दू trailer भाईजान . ...
","Awesome trailer , brother .
"
"शादी कब है ?
","when is the wedding ?
"
"हाँ दी net pack जादा चाहे उसके लिए न
","Yes , want more net pack that's why right
"
"local store जहाँ पे तुझे पता मिलेंगी
","Any local stores where you know its available .
"
"i love u salman वै . i like i so मूच.खुदा हमेशा आपकी साथ रहेगी वही ..
","i love you salman brother . i like you so much . god will always be with you
"
"sallu यार 6 बज गए ..
","sallu yar it is 6 o'clock ..
"
"चलो तो रात में वार्तालाप करते हैं
","Let's talk in the night
"
"अगर modi जी 10 साल पहले pm बने होते तो हम आज 20 साल आगे होती
","if modi ji had become pm 10 years ago we would have moved forward 20 years today
"
"आप royal सलमंकन है तो सुन no के पहले ये सोचो की मुसलमान है की नहीं है तो आख़िरत की फ़ीका कर
","if you are the real salmakan then listen , first think if you are muslim or not , to akhirat ki fika kar
"
"and i was hoping की कुछ interviews लगेगी
","And I was hoping that I would get some interviews
"
"Looking hot salman ...
","Looking hot , salman .
"
"वैसे मेरी college की छुट्टी नहीं है
","Well my college does not have a holiday
"
"Salman khan Bajrangi कुत्ता माँ का लौड़ा bhenchod
","Salman khan Bajrangi kutta maa ka lauda bhenchod
"
"चूतिया no 1 ... जो अपने धर्म की नहीं हो सका ओ किसी भी धर्म का नहीं ... कहते हैं न लोग की .. जो खुद को प्यार नहीं करता ओ किसीको भी प्यार नहीं करता
","chutiya number 1 .. the person who cannot be of his religion cannot be of any religion .. don't people say that .. the one who doesn't love himself doesn't love anyone
"
"Sallu अगिया fb प
","Sallu has come on fb
"
"और गलती तुम्हारी नहीं है प्यार कोई करता नहीं हो जाता है तुम्हें हुआ ही नहीं मैं इसलिए मिलने के लिए गिड़गिड़ाते रहती हूँ तुम्हे कोई फरक नहीं पड़ता
","and its not your mistake no one intentionally loves it just happens it didnt happen to you thats why i died to meet you but it didnt matter to you
"
"बहुत खूब , , specially salman कहाँ ...
","very nice . specially salman kahan
"
"यह वि बोलने की बात है आप बुलाएं और हम ना आये #bhaiyjan
","is this something to say that you call and we don't come #bhaiyjan
"
"भाई जान number बताओ
","brother tell the numver
"
"modiji हमारी एक गुजारिश हैं की हम एक संगस्तान खोलना चाहती हैं की निज निज एलकॉमन सारी लोकोकोको help करना और इसके लिए help की प्रोयजों हैं ...
","modiji we have a request that we want to open an organization that will help with private matters of people
"
"miss हो गया भाई
","missed it brother
"
"नहीं आया यार
","did not come friend
"
"4 बजे गए लेकिन भाईजान का अभी आना बाकी है
","it is past 4 but Bhai is yet to come
"
"Hello salman जी , , Eid मुबारक
","Hello salman jee , , Eid mubarak
"
"Aslam तू अगर biggest fan ही तो किया अपुन smilest fan he salman khan की
","Aslam if you are the biggesr fab then am I the smilest fan on salman khan
"
"है modi जी क्यां से हो आप हमारे bihar से आपको जादा vote मिले तो bihar को ही full गया है please bihar को ठरकी में कीजिये जाय से gujart को तरकी में क्याहै
","hi modi ji how are you you got more votes from bihar so you have forgotten bihar please develop bihar like you developed gujarat
"
"Let me know कुछ दिक्कत हो तो .
","let me know if there is any problem
"
"और बेटा
","tell more
"
"अब summer training देखनी है कोई अच्छी सी और बेटा
","Now i have to look for some good summer training tell more
"
"sir 4 बज गए आओ ना please
","sir it's 4 please come
"
"Hi Salman sir love up pis एक बार मुझे से बात करो न सर पीज पीज पीज
","hi salman sir love you please talk to me once please sir please please please
"
"salman sir अभी तक wait कर रहा है हम please अभी भी आ जॊ
","salman sir we're waiting till now plz come now
"
"Actually is बार भूत scenes हो गए थे .
","Actually there were a lot of scenes this time .
"
"अब organize करने वाली रोएंगे तो ?
","Now if the people who make arrangements will cry then ?
"
"हाँ but I'll arrange दारू for 26th night in the hotel room .
","Yes but I'll arrange beer for 26th night in the hotel room .
"
"Bhaijaan I'm eagerly waiting
","Bhaijaan I'm eagerly waiting
"
"warden को complain हो गई !
","The complaint has reached the warden .
"
"अच्छा
","acha
"
"True love to ऐसा होता है जो कभी उसकी आँखों में आसू नहीं देख सकता हूँ मारना पीटना तो भूत दूर की बात है
","true love is such that they cannot see tears in their eyes and hitting is a far fetched thing
"
"तेरी film flop होगी देख तो अब salman khan
","your film will flop , you watch , salman khan
"
"में screenshots send करती हूँ
","i will send the screenshot
"
"salman आपकी सोच बहुत अछी है ... अल्लाह PAK सब ठीक करें गे . आप प्रशन मत हों . stay blessed
","Salman , your truth is really nice . God will fix everything . Don't get too tensed up . Stay blessed .
"
"किसी ने आपको बताया कि उन्हें dance करना है क्या ?
","Did anyone tell you that they have to dance ?
"
"तैयार हो गए कब से , अब जल्दी आओ !
","you are ready since when , now come fast !
"
"eid बाद होगी भाई party तो वो भी bajrangi भाईजान movie के साथ सभी no tv no movie
","after eid will be bhais party and that too with bajrangi bhaijaan movie everyone no tv no movie
"
"बोलो
","say
"
"भाईजान आप की film के लिए बोहोत बोहोत बधाई
","bhaijaan congratulations for your film
"
"book से idea है क्या पढना है ?
","The idea is to read what the book is ?
"
"क्या हुआ आपका वादा वो कसम वो इरादा
","what happened to your promise , that swear , that decision
"
"किसी organizer का number है ?
","Is there an organizer's number ?
"
"long paper करने हैं या short चलेंगे ?
","Do you want to do long papers or will short do ?
"
"यह सबका record तोड़ने वाली है
","this is going to break everyones record
"
"Sir सब को पता है न आप किसी का बुरा करता हूँ और न किसी का बुरा चाहता हूँ lovely
","Sir everyone knows neither you do anything bad to anyone nor you want something bad for anyone loveyou
"
"क्या by मझे
","what bye huh
"
"कोई हाल बा
","How are you
"
"खाना होगया ?
","Had food ?
"
"Salman khan की जय हो
","long live salman khan
"
"यह 7 मैं तो खत्म ही नहीं होती . आप कहाँ हो जल्दी आ जाओ .
","these 7 mins don't seem to end . Bhai where are you come quick .
"
"पता नहीं आप message देख रहे हों या नहीं
","i don't know if you are looking at messages or not
"
"problem नहीं होनी चाहिए I guess
","I guess it shouldn't be a problem .
"
"मस्त है salman khan sir songs
","salman khan sir's songs are amazing
"
"मेरी तो इतनी walking होती है कि 20 हजार हो जाती हैं कभी कभी :P
","I walk so much that sometimes I do 20 thousand
"
"Sir मैं आपका big big fan हो मुझे आपसे call पे beat करनी है एक बार सर मेरा contact num 03356507139 Skype I . the abdul . rehman 6731 please contact meabdul.rehman.sahabto
","sir i am a big big fan of yours , i want to talk to you on call once , sir my contact num 03356071 39 skype id abdul . rehman 6731 please contact me abdul.reman.sahabto
"
"भेजना please whenever you have time
","please send whenever you have time
"
"Salman भाई आप मुझे भूत पसंद हो
","salman brother i like you a lot
"
"अय्यो
","Come here
"
"मैं 1st time बैठा हूँ इसपे , and I paid for it .
","I am sitting on it for the 1st time , and I paid for it .
"
"पर घर वाले मानें तो आने का try करूंगी
","If my parents agree I will try to come
"
"मुझे आप की movie और gig boss का बहुत बेसब्री से इंतज़ार होता है
","I wait very impatiently fir your movie or bigg boss
"
"कभी SUBHAS CH Bose & Bhagat Singh की भी बात किया करो सिरजी ... जिसने देश के टुकड़े कर दिए उस आदमी ( Gandhi ) की मूर्ति anvaran करते फिर रहे @ narendra modiji
","Sometimes talk about SUBHAS CH Bose & Bhagat Singh too sirji ... The man who broke the country ( Gandhi ) you are making a statue of that man @ narendra modiji
"
"Weekend पे convocation है , so a lot of batchmates wouldbe here today !
","the convocation is on the weekend , so a lot of batchmates wouldbe here today !
"
"मस्त है भाई जान
","its amazing brother
"
"U owsum Salman भाई
","U owsum Salman bhai
"
"attendance जाने से पहले मैं present लगा दूंगी
","before my attendance goes i will mark myself present
"
"Hmm hmm कर रह है
","doing Hmm hmm
"
"Salman sir आपकी movie hit होगी
","Salman sir , your movie will be a hit .
"
